gf45bi701,gf45bi7010,gf45bi7011,gf45bi7012,gf45bi7013,gf45bi7014,gf45bi7015,gf45bi7016,gf45bi7017,gf45bi7018,gf45bi7019,gf45bi702,gf45bi703,gf45bi704,gf45bi705,gf45bi706,gf45bi707,gf45bi708,gf45bi709
130,262,-13,1068,130,33,34,363,149,363,149,117,29,10780,336,-62,398,262,-13
130,262,-13,1069,130,33,34,363,150,363,150,117,29,10764,336,-62,398,262,-13
130,262,-13,1069,130,33,34,363,150,363,150,117,29,10764,336,-62,398,262,-13
130,262,-13,1078,130,35,34,364,153,363,153,117,29,10758,336,-61,397,186,-13
129,262,-13,1070,130,33,34,363,150,363,150,116,29,10760,335,-61,396,262,-13
129,261,-14,1070,130,33,34,363,150,363,150,116,29,10781,335,-63,398,261,-14
129,261,-14,1070,130,33,34,363,150,363,150,116,29,10781,335,-63,398,261,-14
129,262,-13,1070,130,33,34,363,150,363,150,116,29,10760,335,-61,396,262,-13
131,263,-12,1079,128,36,33,363,155,361,155,118,29,10774,337,-61,398,187,-12
128,261,-14,1073,130,33,34,366,150,366,150,115,28,10775,334,-63,397,261,-14
129,261,-14,1073,130,33,34,366,150,366,150,115,29,10744,334,-62,396,261,-14
129,261,-14,1073,130,33,34,366,150,366,150,115,29,10744,334,-62,396,261,-14
129,261,-14,1073,130,33,34,366,150,366,150,115,29,10744,334,-62,396,261,-14
129,261,-14,1073,130,33,34,366,150,366,150,115,29,10744,334,-62,396,261,-14
127,259,-15,1062,129,33,34,364,147,364,147,114,28,10748,332,-63,395,259,-15
132,264,-11,1084,127,36,33,364,157,360,157,117,29,10780,338,-60,398,188,-11
129,261,-14,1073,130,33,34,366,150,366,150,115,29,10745,334,-62,396,261,-14
132,264,-11,1084,127,36,33,364,157,360,157,117,29,10780,338,-60,398,188,-11
133,265,-10,1084,127,36,33,364,157,360,157,118,29,10768,339,-59,398,189,-10
133,265,-10,1084,127,36,33,364,157,360,157,118,29,10768,339,-59,398,189,-10
129,261,-13,1067,128,33,34,362,150,362,150,115,29,10757,334,-62,396,261,-13
132,265,-10,1083,127,36,32,363,157,360,157,118,29,10769,339,-59,398,188,-10
125,257,-16,1041,126,32,35,361,145,361,145,113,28,10706,331,-64,395,257,-16
132,264,-11,1083,127,36,32,363,157,360,157,117,29,10778,339,-60,399,188,-11
125,256,-17,1039,127,32,34,362,145,362,145,113,28,10712,330,-65,395,256,-17
125,257,-16,1041,126,32,35,361,145,361,145,112,28,10728,331,-64,395,257,-16
125,257,-17,1037,125,32,34,360,145,360,145,112,28,10702,330,-65,395,257,-17
125,257,-17,1039,127,32,34,362,145,362,145,112,28,10715,330,-65,395,257,-17
125,257,-17,1039,127,32,34,362,145,362,145,112,28,10715,330,-65,395,257,-17
125,257,-17,1039,127,32,34,362,145,362,145,112,28,10725,330,-65,395,257,-17
127,258,-16,1046,127,32,34,361,145,361,145,113,28,10725,331,-64,395,258,-16
133,266,-10,1083,127,37,32,364,159,358,159,118,29,10802,340,-59,399,189,-10
133,266,-10,1083,127,37,32,364,159,358,159,118,29,10802,340,-59,399,189,-10
133,266,-10,1083,127,37,32,364,159,358,159,118,29,10802,340,-59,399,189,-10
127,258,-15,1047,127,32,34,361,145,361,145,113,28,10706,330,-64,394,258,-15
127,258,-15,1047,127,32,34,361,145,361,145,113,28,10706,330,-64,394,258,-15
127,258,-15,1047,127,32,34,361,145,361,145,113,28,10706,330,-64,394,258,-15
125,257,-17,1039,127,32,34,362,145,362,145,112,28,10715,330,-65,395,257,-17
133,265,-9,1085,127,37,32,366,158,354,158,118,29,10746,340,-58,398,190,-9
133,266,-10,1083,127,37,32,364,159,358,159,118,29,10802,340,-59,399,189,-10
125,257,-16,1041,126,32,35,361,145,361,145,112,28,10728,331,-64,395,257,-16
131,264,-11,1078,128,35,33,361,154,361,154,116,29,10755,337,-59,396,187,-11
132,265,-10,1081,127,36,32,362,157,360,157,117,29,10752,339,-59,398,188,-10
132,265,-10,1081,127,36,32,362,157,360,157,117,29,10752,339,-59,398,188,-10
131,264,-11,1078,128,35,33,361,154,361,154,116,29,10755,337,-59,396,187,-11
125,257,-16,1040,126,32,35,361,145,361,145,112,28,10708,330,-64,394,257,-16
125,257,-17,1036,125,32,34,360,145,360,145,112,28,10722,330,-65,395,257,-17
131,263,-11,1078,128,35,33,361,154,361,154,116,29,10715,337,-59,396,187,-11
133,265,-9,1080,127,37,32,362,159,355,159,118,29,10768,340,-58,398,189,-9
