gf85bi701,gf85bi7010,gf85bi7011,gf85bi7012,gf85bi7013,gf85bi7014,gf85bi7015,gf85bi7016,gf85bi7017,gf85bi7018,gf85bi7019,gf85bi702,gf85bi703,gf85bi704,gf85bi705,gf85bi706,gf85bi707,gf85bi708,gf85bi709
144,277,-3,1106,135,40,33,378,163,378,163,118,28,11031,355,-56,411,277,-3
144,277,-3,1108,135,40,33,378,165,378,165,118,28,11020,355,-56,411,277,-3
144,277,-3,1108,135,40,33,378,165,378,165,118,28,11020,355,-56,411,277,-3
144,277,-3,1114,134,42,33,378,168,376,168,118,28,11011,355,-54,409,195,-3
143,277,-3,1109,135,40,33,378,165,378,165,118,28,11016,354,-55,409,277,-3
143,277,-4,1109,135,40,33,378,165,378,165,117,28,11042,354,-57,411,277,-4
143,277,-4,1109,135,40,33,378,165,378,165,117,28,11042,354,-57,411,277,-4
143,277,-3,1109,135,40,33,378,165,378,165,118,28,11016,354,-55,409,277,-3
145,278,-2,1116,133,43,32,378,170,374,170,119,29,11031,356,-54,410,197,-2
142,276,-5,1111,134,40,33,380,165,380,165,117,28,11036,353,-56,409,276,-5
143,276,-4,1111,134,40,33,380,165,380,165,117,28,10999,353,-55,408,276,-4
143,276,-4,1111,134,40,33,380,165,380,165,117,28,10999,353,-55,408,276,-4
143,276,-4,1111,134,40,33,380,165,380,165,117,28,10999,353,-55,408,276,-4
143,276,-4,1111,134,40,33,380,165,380,165,117,28,10999,353,-55,408,276,-4
141,275,-5,1098,133,40,33,378,162,328,162,116,28,11006,350,-56,406,274,-5
146,279,-1,1120,134,43,32,379,172,373,172,118,28,11031,357,-53,410,198,-1
143,276,-4,1111,134,40,33,380,165,380,165,116,28,10990,353,-55,408,276,-4
146,279,-1,1120,134,43,32,379,172,373,172,118,28,11031,357,-53,410,198,-1
147,280,0,1120,134,43,32,379,172,373,172,119,29,11018,358,-52,410,199,0
147,280,0,1120,134,43,32,379,172,373,172,119,29,11018,358,-52,410,199,0
143,276,-4,1106,132,40,33,377,165,377,165,116,28,11005,353,-55,408,276,-4
146,279,-1,1119,134,43,32,378,172,373,172,119,29,11019,358,-52,410,198,-1
