gf45bi501,gf45bi5010,gf45bi5011,gf45bi5012,gf45bi5013,gf45bi5014,gf45bi5015,gf45bi5016,gf45bi5017,gf45bi5018,gf45bi5019,gf45bi502,gf45bi503,gf45bi504,gf45bi505,gf45bi506,gf45bi507,gf45bi508,gf45bi509
122,253,-21,1024,131,34,38,363,138,363,138,118,29,10653,327,-73,400,253,-4
122,252,-21,1025,131,34,38,363,138,363,139,118,29,10635,326,-73,399,252,-3
122,252,-21,1025,131,34,38,363,138,363,139,118,29,10635,326,-73,399,252,-3
122,253,-20,1031,132,35,38,363,139,363,142,118,29,10628,326,-72,398,253,-3
121,252,-20,1026,131,34,38,363,138,363,139,118,29,10637,326,-73,399,252,-4
121,252,-22,1026,131,34,38,363,138,363,139,117,29,10668,326,-74,400,252,-4
121,252,-22,1026,131,34,38,363,138,363,139,117,29,10668,326,-74,400,252,-4
121,252,-20,1026,131,34,38,363,138,363,139,118,29,10637,326,-73,399,252,-4
123,254,-19,1033,132,36,36,361,141,361,145,118,29,10661,327,-71,398,254,-2
120,251,-22,1027,130,34,38,364,139,364,139,116,29,10656,324,-74,398,251,-5
121,251,-21,1027,130,34,38,364,139,364,139,116,29,10608,324,-73,397,251,-4
121,251,-21,1027,130,34,38,364,139,364,139,116,29,10608,324,-73,397,251,-4
121,251,-21,1027,130,34,38,364,139,364,139,116,29,10608,324,-73,397,251,-4
121,251,-21,1027,130,34,38,364,139,364,139,116,29,10608,324,-73,397,251,-4
119,250,-23,1017,127,34,38,362,137,362,137,115,28,10629,323,-75,398,250,-23
124,255,-18,1036,134,36,37,359,142,359,146,118,29,10643,328,-69,397,255,-1
121,251,-21,1027,130,34,38,364,139,364,139,116,29,10619,324,-73,397,251,-4
124,255,-18,1036,134,36,37,359,142,359,146,118,29,10643,328,-69,397,255,-1
125,255,-17,1036,134,36,37,359,142,359,146,118,29,10640,328,-69,397,255,0
125,255,-17,1036,134,36,37,359,142,359,146,118,29,10640,328,-69,397,255,0
121,252,-21,1023,129,34,37,362,139,362,139,116,29,10627,325,-73,398,252,-4
124,255,-18,1035,134,36,36,359,142,359,146,118,29,10644,328,-70,398,255,-1
117,247,-24,1000,125,33,37,359,135,359,135,114,28,10567,321,-76,397,247,-24
124,255,-18,1035,134,36,36,359,142,359,146,118,29,10644,328,-69,397,255,-1
117,247,-24,999,125,33,37,359,134,359,134,114,28,10556,320,-77,397,247,-24
117,247,-24,1000,125,33,37,359,135,359,135,114,28,10575,321,-77,398,247,-24
116,246,-24,998,125,33,37,358,134,358,134,113,28,10539,320,-77,397,246,-24
117,247,-24,999,125,33,37,359,134,359,134,113,28,10561,320,-77,397,247,-24
117,247,-24,999,125,33,37,359,134,359,134,113,28,10561,320,-77,397,247,-24
116,247,-25,999,125,33,37,359,134,359,134,113,28,10587,320,-78,398,247,-25
118,249,-23,1005,125,33,38,359,135,359,135,114,28,10573,321,-76,397,249,-23
125,256,-18,1039,134,38,36,358,145,357,150,119,29,10670,330,-70,400,180,0
125,256,-18,1039,134,38,36,358,145,357,150,119,29,10670,330,-70,400,180,0
125,256,-18,1039,134,38,36,358,145,357,150,119,29,10670,330,-70,400,180,0
119,249,-22,1005,125,33,38,359,135,359,135,114,28,10576,321,-75,396,249,-22
119,249,-22,1005,125,33,38,359,135,359,135,114,28,10576,321,-75,396,249,-22
119,249,-22,1005,125,33,38,359,135,359,135,114,28,10576,321,-75,396,249,-22
117,247,-24,999,125,33,37,359,134,359,134,113,28,10566,320,-77,397,247,-24
126,256,-17,1040,135,38,36,361,144,354,150,119,29,10629,329,-70,399,181,1
125,256,-18,1039,134,38,36,358,145,357,150,119,29,10670,330,-70,400,180,0
117,247,-24,1000,125,33,37,359,135,359,135,114,28,10575,321,-77,398,247,-24
124,254,-18,1032,132,35,37,361,140,361,143,117,29,10612,328,-69,397,254,-1
125,255,-17,1032,132,36,36,359,142,359,146,118,29,10633,328,-69,397,255,0
125,255,-17,1032,132,36,36,359,142,359,146,118,29,10633,328,-69,397,255,0
124,254,-18,1032,132,35,37,361,140,361,143,117,29,10612,328,-69,397,254,-1
117,247,-24,999,125,33,37,359,135,359,135,114,28,10557,320,-77,397,247,-24
117,246,-24,997,125,33,37,358,134,358,134,113,28,10554,320,-77,397,246,-24
123,254,-18,1032,132,35,37,361,140,361,143,117,29,10618,327,-70,397,254,-2
125,256,-17,1037,134,38,36,357,145,355,150,119,29,10638,329,-70,399,180,0
117,247,-24,1000,125,33,37,359,135,359,135,114,28,10544,320,-76,396,247,-24
124,254,-18,1032,132,35,37,361,140,361,143,117,29,10612,328,-69,397,254,-1
118,248,-23,1007,125,33,38,360,136,360,136,114,28,10569,320,-76,396,248,-23
116,247,-24,995,125,33,38,358,133,358,133,113,28,10568,320,-78,398,247,-24
124,254,-18,1032,132,35,37,361,140,361,143,117,29,10612,328,-69,397,254,-1
116,247,-24,995,125,33,38,358,133,358,133,113,28,10568,320,-78,398,247,-24
117,247,-24,995,125,33,38,358,133,358,133,113,28,10563,320,-77,397,247,-24
119,249,-22,1007,125,33,37,359,136,359,136,114,28,10583,321,-75,396,249,-22
121,252,-20,1029,130,35,37,363,140,363,142,116,29,10623,325,-72,397,252,-4
117,247,-23,1000,125,33,37,359,135,359,135,114,28,10534,320,-76,396,247,-23
117,247,-23,1000,125,33,37,359,135,359,135,113,28,10534,320,-76,396,247,-23
119,249,-22,1008,125,33,37,359,136,359,136,114,28,10583,321,-75,396,249,-22
119,249,-22,1008,125,33,37,359,136,359,136,114,28,10583,321,-75,396,249,-22
125,256,-17,1038,134,38,36,357,145,356,150,119,29,10638,329,-70,399,180,0
